group,CD8,CD28,CD95,CD45RA,CD27,CD38,CD127
healthy,-0.225054777771167,0.205071500920009,-0.147965007209946,-0.045682498022286,0.45186456788607,-0.0154525225134071,0.146259861603658
healthy,-0.104333045617148,0.241243311221361,-0.0731889522858321,-0.321095755287513,0.43240201131931,-0.0902560180197883,0.359228465176851
healthy,-0.139549395077269,0.381129167197959,0.0063495665340573,-0.411290841751366,0.389286799254153,-0.0910547209015861,0.214166128923157
healthy,-0.0723355776034435,0.187551081084454,-0.551146821181958,0.53095527698355,0.681118837546979,-0.0772078783057778,0.158864714293027
healthy,0.527305423307384,0.283493931245523,-0.350284860299458,-0.0785773524994202,0.6008717509632,-0.326809227290849,0.599251243278392
moderate,0.16638835385057,0.494891508779582,-0.043531419696732,-0.450533091496928,0.40181822316487,-0.229232065420038,0.607606900614715
moderate,-0.414626489542152,0.289297997536954,-0.11952753945865,0.0957840032875116,0.314893418936911,0.0511572271540138,0.0637112374279928
moderate,0.0613723377318888,0.520835008591687,-0.399718286172883,0.239375823964603,0.699623944367504,0.127103883426614,0.53943844323574
severe,0.154239258571916,0.0642075399176402,0.106117243376729,-0.0187156136787886,0.171859723197256,-0.332648168156057,0.31863656769954
severe,0.41208133821049,0.334976591327904,0.153661535797896,-0.245257715329261,0.113405977773573,0.0100403745022595,0.202458513555002
severe,0.495706922313283,0.268447459954138,-0.452055928505944,-0.0159146706940616,0.44463579258624,-0.510002083266825,0.560133485099154
