group,CD8,CD28,CD95,CD279,CD45RA,CD27,CD127
healthy,-0.0829778540393322,0.154877483907435,-0.288591070242262,-0.218256127904092,-0.0993181234723854,0.316252354170983,0.257823692775791
healthy,-0.121804650903308,0.279537013843493,0.0109363093256681,-0.0205658392416131,-0.255050441527434,0.525577563335001,0.465070523086505
healthy,0.0353533374232345,0.532650177336833,0.0845630837925788,0.0131400404710062,-0.461198481779743,0.549149361118927,0.32178102919953
healthy,-0.260838367175333,-0.220354072044696,0.515688909872646,-0.151974717083032,-0.350218393073014,-0.65498872396911,-0.315940358280725
healthy,-0.429513969732951,-0.195926136975094,0.392060919587705,-0.202984477876934,-0.0932678581192377,-0.607643088630755,-0.429367950655641
moderate,-0.123699040651875,0.505602190893887,-0.0630401010396333,0.0712021049047749,-0.511855551320948,0.437972007383876,0.579348038970257
moderate,-0.171601503483763,0.375304898951694,-0.102347967530066,-0.05960342743374,0.382494654711382,0.371286762749466,0.0986581942555426
moderate,0.0478649306800025,0.43440186179408,-0.337596869458867,0.183220537588974,0.351565320541517,0.602108701302247,0.428950757337738
severe,0.159362509313367,-0.0074937661447582,-0.0007992762493853,0.158351274110941,-0.1525599765619,0.119831534098917,0.306709500268195
severe,-0.263446512592825,-0.0482856584423456,0.065140524205808,0.445296171357207,0.068842946649826,0.128530965608569,0.0661523561036795
severe,-0.39492947861281,-0.294486328602967,0.212873038545535,0.206556078066498,0.339537738319209,-0.486757892697625,-0.517108048180622
