group,CD8,CD20,CD279,CD45RA,CD27,Anti-PE,CD127,CD94
healthy,-0.181122876510063,-0.181205612151714,-0.0151870830904277,0.173739162940401,-0.1661194047847,-0.237284463707162,-0.382498279633163,-0.113934951940019
healthy,0.18076318616238,-0.501655772982881,-0.013795468571698,0.0416212374603428,0.0778007551514642,-0.157717878436128,-0.0620725857499926,-0.272928277209775
healthy,-0.303025173191142,-0.09469995417936,-0.110331955885177,-0.104200068177342,-0.310721512899066,-0.245432465825574,-0.288534493250302,-0.177841428891009
healthy,0.197777590690068,-0.14806660653891,-0.625067166609847,-0.337568070982389,-0.32871984659825,0.122670240473656,0.0441658670162099,-0.0778990631301773
healthy,0.507443049578609,-0.287236082665633,-0.0303164069215383,0.228164021978616,0.0657231607603958,-0.138590507625804,0.47516696808719,-0.290037388695693
moderate,-0.25182646403489,-0.0677359505251755,0.0588120729722571,0.0666358181420697,-0.212566342591858,0.369773873432905,-0.490223090394796,0.0187474391799941
moderate,-0.500989165238363,0.0212081248325597,0.0800467320414312,-0.0305791646753814,-0.323792825938185,-0.0661484478869021,-0.391565935573447,0.0156860370633354
moderate,-0.112397294465847,-0.191074377179014,-0.160642214162473,-0.509070692839629,-0.594856200585849,-0.175237931733133,-0.358515137329197,-0.224778619173265
severe,-0.0640785842736235,-0.299964858395204,-0.251567955643593,-0.0506359482570052,-0.112360941542853,-0.116155577719439,-0.30856723657633,-0.308264550072552
severe,-0.130938968810806,0.0038681704275046,-0.331789461718136,0.0317214838918591,-0.165391843445794,-0.506218148279631,-0.0617979445131865,0.212169419531042
severe,-0.257863215018396,-0.0465818659421725,-0.0255369201682177,-0.177850824776492,-0.65161916683937,-0.0437544396136732,-0.767976460858187,0.518229570884907
