group,CD3,CD8,CD28,CD27,CD38,CD127,CD94
healthy,0.247764652857126,0.188349668830548,0.0273925530841528,-0.101585522569021,-0.275601727012776,0.121270574685933,0.130955400564833
healthy,0.539784951235977,0.454410049596421,0.291035587249128,0.292809866317111,0.010147822926654,0.150499859264708,0.0800360028850786
healthy,0.172611786388129,0.262822128175396,0.458876470561503,0.530684557373197,-0.109342627225542,0.464766223712325,-0.21303408869286
healthy,0.147120703566408,-0.39905520533817,-0.269515150886146,-0.668097735505966,0.224705059815741,-0.563741044741599,0.392304090633673
healthy,-0.235933051682175,-0.349961744069917,-0.358728349326151,-0.470517129870054,0.194239290753029,-0.735561000326378,0.486636598740239
moderate,0.205256385690145,0.0931446378765889,0.108887003272758,-0.0036948555637878,-0.468158599909481,0.212233069875988,-0.355580824582784
moderate,0.333525299202775,0.484721392750306,0.244356455951389,0.424507483866671,-0.331362004840418,0.33997461778137,0.0406000776664289
moderate,0.256292699969065,0.530083142032031,0.496809237610908,0.600463639148332,-0.258712378781197,0.507524540490201,-0.30815930928491
severe,-0.386479806651581,-0.234753990224223,-0.069540246644653,-0.265147619790868,0.572881262384567,-0.373472673295743,0.0271538247368385
severe,-0.207564626600924,-0.350033727762283,0.107886111213362,0.109453097816435,0.37661799832948,0.149328129959757,0.306932628521125
severe,0.335951973827204,-0.296480161899287,-0.633803906399885,-0.796147237321899,0.199913260167317,-0.717327148219462,0.591853287941706
