group,CD4,CD8,CD28,CD45RA,CD27,CD38,CD127
healthy,-0.0486292189941222,0.123454719864549,-0.271387044921032,-0.106619831201095,-0.515341728224011,0.0002896600894556,-0.272063429931215
healthy,-0.129885783913957,-0.346255103218139,-0.381738254844212,0.179921506983748,-0.538313483720243,0.0943071974258213,-0.311977563747835
healthy,0.0797030802427785,0.029644563852197,-0.391999401297601,0.549776866091323,-0.409392170396524,0.129202144974755,-0.271089017171782
healthy,0.0282165975124387,0.249775510339464,-0.169625058115244,-0.404748630018431,-0.430500673636282,0.0998339864612147,0.14110405379497
healthy,0.190531489805927,-0.5661014848036,-0.170331499751306,0.0535796527295595,-0.228232798590998,0.346441978572601,-0.643153259987924
moderate,0.0301927689361305,0.0539485264071616,-0.390891129562699,0.477481571707999,-0.226026689375377,0.341659094772899,-0.228916982770983
moderate,-0.0062620905079829,-0.0257187071943863,-0.0420505340459833,0.129714851538437,-0.270900193297776,0.509476521811412,-0.147895273973952
moderate,0.593627045766477,-0.260067978740435,-0.321784617317491,-0.427038992470118,-0.50904710582941,-0.208587660382952,-0.275846075179622
severe,0.226507594163054,0.193555464261862,0.0683041320767747,-0.0229866977626894,0.20494784674341,-0.453792908967775,0.399191216685222
severe,0.0899886485478397,-0.211050379502129,0.211780453628626,0.189344622141663,0.142134891571752,0.430336545221309,0.256514066686714
severe,0.120873495072134,-0.335626365393619,-0.639599721150697,0.126213482814281,-0.807183761646394,0.119373150537719,-0.627184717242945
