group,CD3,CD8,CD1c,CD27,CD38,CD127,CD94
healthy,0.279236258011499,0.323581354501084,0.0200169756353444,-0.0852055353723129,-0.0088590473161732,0.123102243629824,0.250525756038206
healthy,0.556936014063995,0.478016922673617,0.0424774003019212,0.458489002339644,0.001360304530206,0.244955246291536,-0.0494939121984537
healthy,0.283726814187504,0.33990819355192,0.0657933022939674,0.318906722043861,-0.0046239194765884,0.336766455735339,0.114328932470702
healthy,-0.298578905536428,-0.138838656512202,-0.0897810457987253,-0.0009578198800825,0.0250541860332962,0.0771362522318916,-0.022696692734786
healthy,-0.295858179517052,-0.569030543888727,0.0773197522599354,-0.576537847078618,0.390852160930082,-0.659666144692341,0.391700814484166
moderate,0.199053052541346,-0.158096575419478,-0.212287162950905,-0.0605249508583742,-0.383411435190152,0.0989071161614239,-0.457184279178843
moderate,0.487774506545552,0.453666142427603,-0.0147644593216462,0.0447058237230127,-0.332645743339282,0.177784093046594,0.0318925176938289
moderate,0.451930076120018,-0.0711245671223736,-0.16727387072417,0.11914112820216,-0.459635061721787,0.245221476547389,-0.600679479185308
severe,0.552767838700614,0.512110656614019,-0.0119999455323878,0.530792012615025,-0.569686653184333,0.429847201878774,-0.371703221374035
severe,-0.15937821022322,-0.106109454294813,0.600866471586373,0.309912025339791,0.351000746519155,0.362357737025461,0.12056559540136
severe,-0.549307978056391,0.0976114173924035,-0.158585992783528,0.232890490059728,-0.332300658103605,0.149242419421051,-0.50889498817885
