group,CD28,CD95,CD45RO,CD45RA,CD11c,CD27,CD127
healthy,-0.0373696548313982,0.003104476063066,-0.176018497511413,-0.0316863267479473,-0.0969160378975318,0.04883800477673,-0.200569597959472
healthy,-0.204996731181822,-0.131057250227768,-0.0693822677550082,-0.114903021770139,0.010733305550766,-0.232011971491265,-0.0845688495418907
healthy,-0.0014231682869352,-0.0821804441799762,0.157239920874767,-0.278284606663078,-0.131961357143403,-0.0476025115394187,-0.13441333158577
healthy,-0.311319299402764,0.550444554115747,0.308662510322471,-0.315462814175691,0.146190337303154,-0.72280499564301,-0.368491999767729
healthy,-0.635837411923349,-0.186023343531724,-0.705408140365335,0.715313355062777,0.252580662567785,-0.428132354004874,-0.418036192543272
moderate,-0.0322905136760572,0.068399929080933,-0.0094629856593337,-0.204272691238656,-0.153682766077276,-0.1562456712684,-0.041814540871641
moderate,-0.0308243829207765,-0.124340239317541,-0.131300639951502,0.0969755784470971,0.0191800229326268,-0.109510360426908,-0.213655726487728
moderate,-0.53950304834082,0.349722465915561,-0.0481423048393492,-0.143762477617003,0.205350490053126,-0.713924807994837,-0.581389736836138
severe,-0.230532987935908,0.0623692384743596,0.0435112793348288,0.0111033020325819,-0.0209547468985311,-0.347270946148755,-0.411392798255481
severe,0.443220912830039,0.348814555123876,0.337581693325364,0.0569590461520702,0.571607606224655,0.230303517683091,0.438652655667015
severe,-0.470436799218966,0.22557717766522,-0.0324688428258029,-0.135984193595304,-0.0219495128373522,-0.592352414489725,-0.794813159334999
