group,CD4,CD45RO,CD45RA,CD27,CD38,CD127
healthy,-0.140963921777875,0.0951044748695267,-0.0607371538095575,-0.629113217349112,-0.0025685767526548,-0.460877437873326
healthy,-0.130667141003235,-0.220691372838057,0.156486690655758,-0.640913191273519,0.0104172545598916,-0.378817812254933
healthy,0.161521328889981,-0.102718984899487,0.142786187048014,-0.619559619850437,0.124588014402883,-0.472367394564717
healthy,0.110526580318376,0.325565902059998,-0.0411489781945769,-0.458482134954968,0.230973867597906,-0.460474120274825
healthy,-0.152958097965034,-0.615013515437024,0.669814713538747,-0.239065952382797,0.29156676865729,-0.484962509809389
moderate,0.0092510024877054,-0.0206610608990482,0.311398874855303,-0.143119032197927,0.604919657621573,-0.463178196452016
moderate,0.220970937956782,0.201847537812503,-0.0974723166241667,-0.604799899494532,0.449934171862655,-0.327204197709967
moderate,0.551446681381255,0.0707667230864325,-0.353319095585183,-0.754686731147448,-0.0451743953500077,-0.528099621508681
severe,-0.143477541308051,0.0049589708638795,0.180958041176562,-0.49248064832306,0.182628637179994,-0.398350517134799
severe,-0.0163472936985953,-0.0879728589628575,-0.0921617772690783,-0.0447988112046964,0.0678612966333918,-0.0742536794600756
severe,0.0259587672563948,0.0685926078879814,-0.258298085414551,-0.680899490835778,0.322873736062947,-0.781185969824128
