group,CD3,CD8,CD69,CD28,CD45RA,CD27,CD127,CD94
healthy,-0.0803297300880242,-0.21212943996794,-0.193694234892237,0.0945315926011537,-0.0938343421420537,0.256296955169522,0.0905150999146887,-0.246457744214489
healthy,-0.470108249618333,-0.378381551987677,-0.0863690112662173,-0.279129954189126,-0.117401555407126,-0.301169705535581,-0.115619761848457,0.03173270765592
healthy,-0.399196209478991,-0.154030413827911,-0.106468303519586,0.304496415065811,-0.499575843679899,0.266981806297255,0.133771224817163,-0.341715059862935
healthy,-0.0793344989321132,0.0119693472987635,-0.0234832102782857,0.481407371906412,-0.411371677278948,0.171549476768868,0.406126840676673,-0.206661577964569
healthy,0.159515425386633,0.522025062863517,-0.142361939383703,0.25769675660233,0.0177683597351279,0.611587349663768,0.582158467775756,-0.458955717241473
moderate,-0.111011864483483,-0.125273291056938,0.459836317919224,-0.511787238852296,0.464483679872685,-0.420416136956184,-0.608077874306084,0.069958910725639
moderate,-0.502036749317604,0.0540304158714574,0.0212629006021208,0.334904236483107,0.145727574722527,0.377511125105165,0.15450161913812,-0.0488486929945659
moderate,-0.408604197801593,-0.227598991749018,0.126268643367241,-0.271545065100029,0.233651615252487,-0.271130202518971,-0.353699967995586,0.472205081768095
severe,-0.418359158983578,-0.26312920933076,0.0795914276512801,-0.122397228775033,0.0373155877086123,-0.24827348415724,-0.411979000322953,-0.242541699262055
severe,0.450617791017375,0.434155968850717,-0.127288341403139,-0.11726191918609,0.0835760822276889,0.0342152300322035,-0.0563075778497085,-0.340755144374891
severe,0.398476302401192,-0.349958200964815,-0.0607761750095955,-0.586002523892445,0.188848352880774,-0.650142755870134,-0.347564714421706,0.210402183307009
