group,CD3,CD28,CD45RO,CD27,CD38,CD127
healthy,0.0126844292568909,-0.198887551572949,-0.132482521999283,-0.291476973574857,0.291678079748913,-0.283785102622613
healthy,-0.349538203517649,-0.458141986829799,-0.259879032350671,-0.643769627187709,0.010446093965774,-0.393741659790383
healthy,0.0190048006533554,-0.552064625574941,-0.273521742381007,-0.610739635225065,0.165305968804753,-0.458902260672716
healthy,-0.280399722874469,-0.118060776752166,0.307397057960487,-0.502589084391756,0.215796407883595,-0.489054584080514
healthy,0.156083289363723,-0.0384038940169066,0.576336074487638,-0.0642122079094833,-0.0513296859598291,-0.345960049608874
moderate,-0.165559759304355,-0.316385619714508,0.0172902471160361,-0.168451495875597,0.374401520037995,-0.281261967186836
moderate,-0.133002150536538,-0.135278907790586,0.148053700457393,-0.375076365036698,0.593319547967554,-0.270720596351831
moderate,-0.180608592680779,-0.523892777274893,0.0156522106934544,-0.680595624010277,0.345306080419001,-0.579223821150136
severe,0.490579596838799,0.15190315980367,0.187365522647819,0.302168134078549,-0.455646313474086,0.434524427155335
severe,-0.252826721940471,0.220818336701862,0.109166753283221,0.182774912718864,0.382941197145423,0.278561040680912
severe,0.608686591269437,-0.421743966411398,0.0257427035436311,-0.409452474712178,-0.113224241444567,-0.185747264968725
