group,CD28,CD95,CD1c,CD27,CD38,CD127
healthy,0.114878023834422,0.161549618450206,0.219179249114917,0.199863922119522,0.29994632549678,0.0808336065045272
healthy,0.153326975233989,0.116089773837944,0.0540096381100475,0.259466877358905,0.110903243074164,0.144055765898271
healthy,0.0815568809132355,0.159973505445408,0.127462570200871,0.11659663721339,0.0767192027119094,0.111601075873617
healthy,-0.0117503054875226,0.334792015193851,0.0935168155562433,-0.16198308670629,0.0750625938968999,-0.346496418077028
healthy,-0.106679587427562,0.609304820288306,0.143271581456829,-0.280114874938546,-0.139295628060722,-0.208052298031703
moderate,0.0712754502513557,0.166220232926054,0.0895586468699132,0.272158443626813,0.531525713918217,0.0750912530596547
moderate,0.0916241743733366,0.0462023462700488,0.191696528416436,-0.0495666810846808,0.467478187547662,-0.0657539375038213
moderate,0.572533019652329,-0.320395557862566,0.126505520481721,0.749903428992154,-0.0226334325180179,0.614371297967237
severe,0.163831332327422,0.0408820286367166,-0.045140827910206,0.0770321151562967,0.347226892445723,-0.121132223317959
severe,-0.30815040091728,-0.410418301849377,-0.511555998293967,-0.20697726914063,-0.246137575902374,-0.166050780614055
severe,0.272148782839643,-0.33891000222441,-0.0368975677815203,0.432980011608988,-0.454257554948028,0.645475604247104
