group,CD3,CD8,CD28,CD45RA,CD27,CD38,CD127
healthy,0.204442441256761,0.258996385144765,-0.0144697678922878,0.260431812769149,-0.0608373145961322,0.323255191352006,-0.0584146419465489
healthy,0.383502931779604,0.400228211140821,-0.0972980819813878,0.300881387303662,-0.206103152662287,0.008571498168854,-0.298537398429596
healthy,0.351201734622191,0.138781014659774,-0.269290390290308,0.47122474055812,-0.262933046033929,0.0961208950513792,-0.123747963358436
healthy,0.107862800592163,0.203081412602486,0.0905495667139334,0.373487636984939,0.481303177659455,-0.098685713445304,0.179889574283553
healthy,0.252932644952739,0.61062827834263,0.02826302655831,-0.177977078633108,0.224388007250564,-0.293900760933172,0.200915687412705
moderate,0.0750600260970849,-0.011467951186052,-0.365537013800805,0.351148956121232,-0.310476842073653,-0.168411160712545,-0.291011122598171
moderate,0.527926754057243,0.267831876129803,-0.141585563335934,-0.0967151783806997,-0.0709384601381873,-0.0743961216029808,-0.0287554233705045
moderate,0.152055641593203,-0.253191092346075,-0.45743769115665,-0.383581845739605,-0.590567821740682,-0.228218018282324,-0.439083470157851
severe,-0.316890391571768,-0.190046986254106,-0.11556101087231,0.0301279200192604,-0.218938229166586,0.346733662996756,-0.420412684701802
severe,-0.267875602653285,-0.161968206756787,0.0515154882284125,0.170162239472475,-0.043680164985922,0.172409887615235,0.0316382130415074
severe,-0.141839290644953,0.424337721687148,0.423258719919887,-0.004060694300414,0.641536642260029,-0.459772180881836,0.787173608536618
