group,CD8,CD28,CD27,CD38,CD127,CD94
healthy,-0.259077927567033,0.101762616109524,0.340005983819823,0.0307778181660374,0.0287771661232155,-0.311364847660176
healthy,-0.434737351611491,-0.385763243332095,-0.454307860486391,-0.0078561570105354,-0.281284983040608,-0.0449288217269878
healthy,0.0683576492474148,0.48324682301231,0.532524999363955,-0.0176269403433933,0.341417020616382,0.0335796445480528
healthy,0.198779846426177,0.220815771051314,0.187880961765289,-0.0331170881954186,0.189431282578641,-0.257014103886636
healthy,0.585313778359441,0.296209329234527,0.551846345538895,-0.437489945102812,0.601009037260495,-0.435857012449931
moderate,-0.0462385124856225,-0.44651601283896,-0.436073265202828,0.169370102844314,-0.651709845431614,0.0428893341108812
moderate,-0.240900339282164,0.456261436786102,0.48769312203369,0.180739508182884,0.20669932176599,-0.0149740404045504
moderate,-0.349158356678661,-0.553914003053406,-0.722869587640561,0.282623649126888,-0.606186883928931,0.415031271864255
severe,-0.190967273887293,0.148467922243978,-0.0246344333047085,0.661854163869226,-0.194237816763326,0.375207338817
severe,0.438182109645848,-0.112195519521672,-0.0226936689550302,-0.250027597541954,-0.313944674081225,-0.251010277517579
severe,-0.525302061010843,-0.564131520278883,-0.757739593036437,0.192564560996263,-0.601006854360097,0.545067128654422
