group,CD4,CD28,CD197,CD45RA,CD27,CD38,CD127
healthy,-0.18918026636456,-0.244478898116469,-0.201964385283473,0.0333064057996647,-0.231933462482486,0.0346323468261492,-0.359287288540596
healthy,0.116868863802277,0.042347028087987,0.159882265734544,0.287039756370694,0.0903518584694206,0.142990592403986,-0.082526760336782
healthy,0.035165240258048,-0.249396142067916,-0.167204129760112,0.0041141347325098,-0.321668303507618,0.0165127383687549,-0.320849994572271
healthy,-0.126005830338911,0.342700362653165,0.0781106106679923,0.585726972358913,0.626508671479971,-0.0500255070035886,0.0024103847358874
healthy,-0.315645744465711,-0.408109606810255,-0.702243083068437,0.3049443154246,-0.329294006251382,0.113161512428872,-0.384140586937109
moderate,-0.0559992006666419,-0.411505033687167,0.210738875317542,0.434556851981674,-0.390983335490284,0.0668051394925238,-0.549280770399641
moderate,0.117050801522318,-0.0948936282110975,0.127435892120343,0.114777031270397,-0.302304597019263,0.612470380426139,-0.29402980113012
moderate,0.587337555521259,-0.523311724148456,-0.0877177340269385,-0.341840717085756,-0.741419017923341,0.0252426369094752,-0.505765858288897
severe,-0.285407103479201,-0.144594953582496,-0.0017788826840288,0.0303174932142848,-0.297681979133566,0.458610432758745,-0.450360461543921
severe,-0.11819173115984,-0.190357598250729,0.0011704519411411,-0.0387969609972818,-0.0370291697462443,-0.201068734357408,-0.23687869797
severe,0.0234637317990577,-0.155421891956901,0.138555212282046,-0.101879659338371,-0.255418013587312,0.558964864718221,-0.466707607552501
