group,CD3,CD8,CD45RA,CD27,CD38,CD127,CD94
healthy,0.124055095355665,0.242879571899631,-0.0819239052904829,-0.354589925941045,-0.13816949595546,-0.0413144668623012,0.291640111956324
healthy,-0.44933393523099,-0.3898571234083,0.174515722489246,-0.430583863091062,0.130238034258932,-0.221739623519251,0.27888426212658
healthy,-0.12187084255557,-0.216855607947606,0.59098560543952,-0.135504875022571,0.173107961573789,-0.229247862424813,0.46864757392045
healthy,-0.486650002379762,0.0440100463808546,-0.0755358080766031,-0.270435850854213,0.340438615826015,-0.0769536672300996,0.253321743337301
healthy,-0.340034602737225,-0.571858515917886,0.311476534655437,-0.636327352954418,0.39345254172367,-0.636211868288213,0.419405690768868
moderate,-0.0976971595343358,-0.195692071874984,-0.1620788877925,0.35299776945757,0.330423997992249,0.346195154032089,0.18181406144654
moderate,-0.317364950718488,-0.414573959239852,0.16555721318293,-0.385089685060582,0.459014808818624,-0.23014237418335,0.0321432327263993
moderate,-0.308865395525267,0.0053438326378032,0.430816051948231,0.597284342826303,0.305700602587909,0.408898516895797,0.129692411086351
severe,0.374982350856021,0.202979399375719,0.0005184826883918,-0.0850374748590954,-0.516652156684133,0.0164813332498512,-0.320175321527289
severe,0.205037977699894,0.0692153461400281,-0.187130852824877,-0.0730367086095018,-0.452627253199691,-0.206322749345949,-0.430711628069126
severe,0.0944117951431822,0.362794871550237,0.412497307438814,0.190756705860555,-0.405942546916867,0.481489447438151,-0.0561153206539103
