group,CD28,CD45RO,CD45RA,CD27,CD38,CD94
healthy,0.351021377578671,-0.169562241149345,0.0031299609737451,0.594937113749146,-0.0882692846204712,-0.16553928864203
healthy,0.344918350862281,0.38909752059589,-0.328466826513001,0.520990808614816,-0.146839242092098,-0.193499770009661
healthy,0.556287311529517,0.328276613141432,-0.484616452864607,0.586669393752711,-0.108784992424013,-0.364578135162339
healthy,-0.296163470473263,0.273623160461576,-0.241337700730563,-0.745996045479255,0.188667964638281,0.345314720504402
healthy,-0.209887222425725,-0.560745148925947,0.518969445061009,-0.457373977432409,0.340955034893647,0.117449512714641
moderate,0.126233587154978,-0.111436256982586,0.0972702514214535,0.223318295693825,-0.225877075607206,0.222209290630766
moderate,0.377044833033923,-0.217812845489527,0.179060974779813,0.580103277177695,-0.241508590791838,-0.155370113673013
moderate,0.490589073250267,-0.0385996124375071,0.452804515094842,0.710311731377844,0.247028426056153,0.132253662116409
severe,-0.022239594738939,0.0426381400891785,0.162234844569972,-0.221471486680511,0.563364779574013,0.120958982229235
severe,0.0957346682682329,-0.115727337977685,0.171903356459089,0.06961493811818,0.179216561254733,0.538026143878739
severe,-0.14618083358644,-0.308582658754889,0.538254210481793,-0.206907969727819,0.0866721558966375,0.247136697392863
