group,CD8,CD28,CD45RA,CD27,CD127,CD94
healthy,-0.0866683584732326,0.33453604971141,0.0325591677630124,0.597620648969422,0.309216575464743,-0.194982392957915
healthy,-0.251623110006675,0.119600972832352,-0.260964175150267,0.322829487716841,0.30752893638748,-0.0918691184254152
healthy,-0.0314156901839758,0.478322645591812,-0.387152994730361,0.478196056826516,0.279182770136012,-0.263561820640895
healthy,0.295549999082971,0.219029482586962,-0.194274303276396,0.282913750935836,0.545104238947173,-0.311776656727292
healthy,-0.52826287387814,-0.371821652500143,0.197562227255745,-0.616591250645001,-0.639821359023722,0.349682634685875
moderate,0.0782196545899536,0.32771570526375,-0.13151830864694,0.374763390038425,0.483493668637327,0.185904288575754
moderate,-0.351501461417157,0.174183981345304,0.0929019119361693,0.142448041443058,-0.072687727295717,-0.129191686530323
moderate,-0.285499551618025,-0.153891718286149,0.238255820855355,-0.130659192007821,-0.218048894799741,0.436859910102941
severe,0.039660601989788,0.255892844159121,0.0219630025095574,0.280207536507512,0.527464620311312,0.0001500001506335
severe,-0.0891040470502206,0.288775875091208,-0.520073962759699,-0.0168935378083053,0.0540575416745091,-0.151369969482602
severe,0.203405539422643,0.607478426885644,0.110613433149337,0.740397395396402,0.671553508362127,-0.554408096493586
