group,CD28,CD95,CD45RA,CD27,CD38,CD127,CD94
healthy,0.0471632103099682,-0.275355595895662,-0.288071983657527,0.0560180132353135,-0.326632873350778,0.120109748749949,-0.0564847643163932
healthy,0.438225469413277,0.114227197094296,-0.146025440892353,0.618804311881813,-0.0476757709151222,0.357887071847996,-0.293315426387365
healthy,0.464778181995832,0.0221290453130021,-0.388457326587001,0.53524544689411,-0.172334111219647,0.463493530813238,-0.380462338653566
healthy,-0.224704039608475,0.505605985534375,-0.52659065340747,-0.745173370048006,0.136318289915203,-0.23669584038066,0.348875399151122
healthy,0.116390680362054,0.118511408431505,-0.212361246962962,-0.0546294128153115,-0.367685431944388,0.362529770201185,-0.280406378065126
moderate,0.508199915420024,-0.101713473130655,-0.263945959932755,0.446036355153628,-0.331035323601252,0.600532611672958,-0.181966021026099
moderate,0.0111258673939148,0.0093993386521198,-0.118760222568459,0.242940249254741,-0.572479971200311,0.21148040673282,-0.203569080362358
moderate,0.524319073412368,-0.413392837908337,0.0903239439815863,0.704150774951814,-0.301328365777617,0.560777771938033,-0.383994145275448
severe,0.220977127665982,0.0890136831592272,0.140196012782405,0.387780269903496,-0.364784912310785,0.202635280526624,-0.519853053693747
severe,0.204512347078791,0.215515998326848,0.115672530389831,-0.0538237123139501,0.277371827348167,-0.141846237684735,0.120392138977652
severe,0.600244368642627,-0.3373205228076,-0.0547963152955148,0.764043820897817,-0.324813683758429,0.770996083804678,-0.540662952975099
