group,CD3,CD8,CD28,CD45RA,CD27,CD38,CD127,CD94
healthy,0.0487050504684381,0.0372026276640122,0.357561552149225,-0.116110752323916,0.567111704516367,0.271529656874572,0.252436462550671,-0.0714502603645029
healthy,0.475678106527766,0.318707934120364,0.41955181460845,-0.175093859201825,0.612396689010072,-0.0930749839083768,0.384307115038486,-0.152759236759043
healthy,-0.0775085181822409,-0.0889901557599492,0.251346234978799,-0.427624569451293,0.244626054073233,-0.10595163139021,0.171598909452028,-0.40129229526115
healthy,-0.0417375980688692,-0.0071837073441504,0.141729756595722,0.460768298039871,0.624718991594446,-0.0264471082828374,0.116407790351144,-0.514482510337296
healthy,-0.252148579395781,-0.458985366700588,-0.379025727377364,0.278808039813472,-0.700656293891556,0.352551595102541,-0.635209415019131,0.389976499522474
moderate,-0.0315539074221917,-0.291907206181764,-0.141643713377021,-0.167698337727134,-0.228718233552729,-0.48992702218344,0.132267679272994,-0.0666448800099984
moderate,0.293058746350872,0.126313580741176,0.0751509492718016,0.0231018498018968,0.257533406663046,-0.533129053156329,0.326676754783626,-0.177912662337709
moderate,0.291389995534233,0.138067613728109,0.48148912080595,-0.118936049321741,0.582175536560483,-0.309124351988537,0.584162735799165,-0.486609769861975
severe,-0.169807119788619,-0.0524507025908054,0.116205236863421,0.137565684701441,-0.0431983571337898,0.479287180370353,-0.194770641081565,-0.0329003494949702
severe,-0.271037244160374,-0.260096498729556,0.0108759372483645,0.303650506441122,0.0626738868235458,0.169071491489354,0.050673538969122,0.45105905774967
severe,0.482040574849688,-0.138555407458307,-0.574407274043049,-0.041209695729652,-0.670612795856433,-0.0203705348413737,-0.436552133290869,0.501675571170248
