group,CD3,CD8,CD28,CD45RA,CD27,CD38,CD127,CD94
healthy,-0.0123978479610944,-0.0406349849065965,0.229519205575863,0.28254732547525,0.482200423162602,0.244505333561652,0.156925684786107,-0.125228134403625
healthy,-0.405013810684724,-0.305230922303132,-0.160865266365431,-0.167004069863374,-0.140212907245709,-0.0938436676432082,0.0157566712766996,-0.0340613950820914
healthy,-0.0743974539847688,-0.150717529278472,-0.276013781172316,0.543319529587378,-0.31990212996388,0.196899395335732,-0.271019788926365,0.523953256139297
healthy,-0.0178026363698129,0.244286717145906,-0.252945286537514,-0.358295440009507,-0.476527199079318,0.114065732202514,-0.0080902232088997,0.0816282946122448
healthy,-0.186837726618823,-0.596249261015642,-0.334865983364269,0.268106248981978,-0.616060197575529,0.327543238995984,-0.607191793413104,0.362195501847909
moderate,0.256951409555636,-0.13990238063422,0.188198698018783,-0.453977657012804,0.0591754587492904,-0.534967880288483,0.266664863890701,-0.40592055102958
moderate,-0.450819217224542,-0.478379711835068,-0.0146331207311489,0.0451086207943519,-0.175213586555403,0.401321262378334,-0.219947748004076,0.0307288936392691
moderate,-0.134814734737311,0.324944677091155,0.592136222277935,0.320997829176788,0.80323575004991,0.099252665020133,0.586443754974065,-0.0698202157239229
severe,-0.133903515761959,-0.055891819338813,-0.0963798243097839,0.015849266970019,-0.144280746100583,0.150704361095591,-0.349354509209167,-0.409762436809149
severe,0.371393705743534,0.360304535413844,-0.261022493960749,0.0619983685950509,-0.186694629270401,-0.208454688863128,-0.277266002184139,-0.216263982310121
severe,-0.505156471732707,0.0326366482051068,0.581800627588106,0.0298369823491625,0.651522200956182,0.132423532563672,0.458044835881065,-0.38076066693964
